time,X_value,Y_value,Z_value
19.903,-0.52023,-0.29068,9.78853
19.943,-0.52045,-0.29067,9.78852
19.983,-0.52126,-0.29059,9.78848
20.022,-0.52162,-0.29049,9.78846
20.063,-0.52160,-0.29031,9.78846
20.104,-0.52145,-0.29038,9.78847
20.144,-0.52097,-0.29041,9.78850
20.184,-0.52082,-0.29048,9.78850
20.224,-0.52032,-0.29094,9.78851
20.263,-0.52056,-0.29034,9.78852
20.308,-0.52055,-0.28960,9.78854
20.344,-0.52016,-0.28931,9.78857
20.383,-0.52006,-0.28927,9.78858
20.422,-0.52033,-0.28924,9.78856
20.463,-0.51995,-0.28864,9.78860
20.503,-0.52045,-0.28938,9.78855
20.545,-0.52088,-0.29003,9.78851
20.584,-0.52004,-0.28956,9.78857
20.624,-0.51892,-0.28913,9.78864
20.664,-0.51943,-0.28914,9.78861
20.704,-0.52025,-0.28915,9.78857
20.744,-0.52047,-0.28867,9.78857
20.784,-0.52130,-0.28936,9.78851
20.824,-0.52203,-0.28962,9.78846
20.864,-0.52218,-0.28902,9.78847
20.905,-0.52196,-0.28848,9.78850
20.945,-0.52208,-0.28780,9.78851
20.984,-0.52135,-0.28809,9.78854
21.025,-0.52069,-0.28837,9.78857
21.065,-0.52059,-0.28841,9.78858
21.114,-0.52087,-0.28842,9.78856
21.145,-0.52044,-0.28844,9.78858
21.184,-0.52117,-0.28794,9.78856
21.224,-0.52144,-0.28752,9.78856
21.266,-0.52117,-0.28718,9.78858
21.306,-0.52130,-0.28724,9.78857
21.345,-0.52112,-0.28756,9.78857
21.385,-0.52092,-0.28697,9.78860
21.429,-0.52075,-0.28644,9.78862
21.466,-0.52087,-0.28671,9.78861
21.514,-0.52098,-0.28730,9.78859
21.546,-0.52138,-0.28735,9.78856
21.585,-0.52107,-0.28788,9.78857
21.625,-0.52043,-0.28835,9.78859
21.666,-0.52110,-0.28796,9.78856
21.706,-0.52170,-0.28799,9.78853
21.745,-0.52174,-0.28772,9.78853
21.786,-0.52174,-0.28753,9.78854
21.826,-0.52176,-0.28733,9.78854
21.866,-0.52141,-0.28721,9.78857
21.913,-0.52073,-0.28676,9.78862
21.945,-0.52102,-0.28698,9.78859
21.986,-0.52130,-0.28728,9.78857
22.026,-0.52119,-0.28718,9.78858
22.066,-0.52034,-0.28674,9.78864
22.107,-0.51921,-0.28637,9.78871
22.146,-0.51912,-0.28659,9.78870
22.187,-0.51892,-0.28629,9.78873
22.227,-0.51873,-0.28602,9.78874
22.267,-0.51924,-0.28642,9.78871
22.314,-0.51930,-0.28680,9.78869
22.347,-0.51931,-0.28795,9.78866
22.386,-0.51954,-0.28855,9.78863
22.426,-0.52009,-0.28911,9.78858
22.468,-0.51964,-0.28869,9.78862
22.508,-0.51925,-0.28830,9.78865
22.547,-0.51888,-0.28832,9.78867
22.587,-0.51952,-0.28908,9.78861
22.627,-0.52009,-0.28939,9.78857
22.668,-0.52008,-0.28895,9.78859
22.714,-0.52044,-0.28856,9.78858
22.748,-0.52077,-0.28873,9.78856
22.788,-0.52135,-0.28858,9.78853
22.828,-0.52151,-0.28845,9.78852
22.867,-0.52159,-0.28851,9.78852
22.907,-0.52165,-0.28858,9.78851
22.948,-0.52116,-0.28794,9.78856
22.988,-0.52103,-0.28773,9.78857
23.029,-0.52091,-0.28756,9.78858
23.068,-0.52096,-0.28811,9.78856
23.114,-0.52065,-0.28895,9.78856
23.148,-0.52049,-0.28918,9.78856
23.189,-0.52036,-0.28936,9.78856
23.229,-0.52013,-0.28871,9.78859
23.269,-0.52054,-0.28818,9.78858
23.309,-0.52127,-0.28771,9.78856
23.349,-0.52149,-0.28675,9.78858
23.389,-0.52204,-0.28590,9.78857
23.429,-0.52154,-0.28581,9.78860
23.468,-0.52132,-0.28611,9.78860
23.508,-0.52112,-0.28641,9.78860
23.548,-0.52078,-0.28587,9.78864
23.588,-0.52123,-0.28539,9.78863
23.629,-0.52204,-0.28565,9.78858
23.669,-0.52220,-0.28572,9.78857
23.710,-0.52270,-0.28580,9.78854
23.750,-0.52230,-0.28644,9.78854
23.790,-0.52157,-0.28701,9.78856
23.831,-0.52189,-0.28642,9.78856
23.869,-0.52158,-0.28611,9.78859
23.913,-0.52130,-0.28547,9.78862
23.950,-0.52149,-0.28606,9.78860
23.990,-0.52167,-0.28733,9.78855
24.029,-0.52120,-0.28753,9.78857
24.070,-0.52092,-0.28668,9.78861
24.110,-0.52067,-0.28592,9.78864
24.150,-0.52053,-0.28629,9.78864
24.190,-0.52076,-0.28662,9.78862
24.232,-0.52017,-0.28631,9.78866
24.270,-0.51994,-0.28644,9.78867
24.310,-0.51972,-0.28657,9.78868
24.350,-0.51962,-0.28644,9.78868
24.390,-0.51917,-0.28631,9.78871
24.431,-0.51980,-0.28648,9.78867
24.470,-0.51934,-0.28554,9.78872
24.511,-0.51893,-0.28470,9.78877
24.555,-0.51890,-0.28477,9.78877
24.591,-0.51886,-0.28485,9.78877
24.631,-0.51851,-0.28434,9.78880
24.672,-0.51779,-0.28430,9.78884
24.715,-0.51752,-0.28428,9.78886
24.752,-0.51822,-0.28571,9.78878
24.792,-0.51886,-0.28659,9.78872
24.831,-0.51893,-0.28630,9.78872
24.871,-0.51825,-0.28649,9.78876
24.912,-0.51801,-0.28668,9.78876
24.952,-0.51767,-0.28647,9.78879
24.993,-0.51774,-0.28628,9.78879
25.032,-0.51807,-0.28612,9.78878
25.072,-0.51831,-0.28660,9.78875
25.113,-0.51852,-0.28705,9.78872
25.151,-0.51868,-0.28699,9.78872
25.193,-0.51883,-0.28656,9.78872
25.232,-0.51896,-0.28606,9.78873
25.272,-0.51784,-0.28614,9.78879
25.312,-0.51722,-0.28659,9.78881
25.354,-0.51711,-0.28685,9.78881
25.392,-0.51664,-0.28709,9.78882
25.432,-0.51649,-0.28669,9.78884
25.472,-0.51611,-0.28700,9.78885
25.512,-0.51576,-0.28728,9.78886
25.553,-0.51639,-0.28730,9.78883
25.593,-0.51694,-0.28732,9.78880
25.633,-0.51768,-0.28727,9.78876
25.674,-0.51834,-0.28685,9.78874
25.712,-0.51827,-0.28561,9.78878
25.754,-0.51904,-0.28587,9.78873
25.793,-0.51972,-0.28610,9.78869
25.834,-0.51942,-0.28688,9.78868
25.873,-0.51880,-0.28719,9.78870
25.917,-0.51876,-0.28652,9.78873
25.954,-0.51901,-0.28616,9.78872
25.994,-0.51923,-0.28584,9.78872
26.034,-0.51960,-0.28590,9.78870
26.073,-0.51992,-0.28595,9.78868
26.114,-0.52076,-0.28614,9.78863
26.152,-0.52082,-0.28573,9.78864
26.194,-0.52124,-0.28534,9.78863
26.234,-0.52148,-0.28527,9.78862
26.275,-0.52169,-0.28520,9.78861
26.314,-0.52073,-0.28579,9.78864
26.354,-0.51984,-0.28720,9.78865
26.394,-0.51905,-0.28846,9.78866
26.434,-0.51910,-0.28830,9.78866
26.476,-0.51951,-0.28817,9.78864
26.514,-0.51944,-0.28761,9.78866
26.553,-0.52008,-0.28787,9.78862
26.595,-0.52066,-0.28811,9.78858
